Handle,Title,Body (HTML),Vendor,Standard Product Type,Custom Product Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
new-zealand-lamb-rack-marinatedwith-kansas,New Zealand Lamb Rack (Marinated)With Kansas,"",Tong Hing Sabah,,,"",false,Title,Default Title,,,,,'2019104,0.0,,0,deny,manual,162.70,,true,true,"",,,,false,,,,,,,,,,,,,,,,,kg,,,draft
new-zealand-lamb-rack-marinatedwith-rosemary,New Zealand Lamb Rack (Marinated)With Rosemary,"",Tong Hing Sabah,,,"",false,Title,Default Title,,,,,'2019103,0.0,,0,deny,manual,162.70,,true,true,"",,,,false,,,,,,,,,,,,,,,,,kg,,,draft
new-zealand-lamb-rack-marinatedwith-lemon-pepper,New Zealand Lamb Rack (Marinated)With Lemon Pepper,"",Tong Hing Sabah,,,"",false,Title,Default Title,,,,,'2019102,0.0,,0,deny,manual,162.70,,true,true,"",,,,false,,,,,,,,,,,,,,,,,kg,,,draft
lw-twister-original,LW Twister Original,"<p><meta charset=""utf-8""><strong>Weight: 2.27KG</strong></p>
<p><meta charset=""utf-8""><em data-mce-fragment=""1"">-ALL PICTURES SHOWN ARE FOR ILLUSTRATION PURPOSE ONLY.ACTUAL PRODUCT MAY VARY DUE TO PRODUCT ENHANCEMENT.-</em></p>",Tong Hing Sabah,,Snack,"",true,Title,Default Title,,,,,"",2270.0,,0,deny,manual,35.20,,true,true,"",https://cdn.shopify.com/s/files/1/0521/9952/2463/products/twister.jpg?v=1635494842,1,,false,,,,,,,,,,,,,,,,,kg,,,active
lw-lattice-chips,LW Lattice Chips,"<p><meta charset=""utf-8""><strong>Weight: 2.27KG</strong></p>
<p><meta charset=""utf-8""><em data-mce-fragment=""1"">-ALL PICTURES SHOWN ARE FOR ILLUSTRATION PURPOSE ONLY.ACTUAL PRODUCT MAY VARY DUE TO PRODUCT ENHANCEMENT.-</em></p>",Tong Hing Sabah,,Snack,"",true,Title,Default Title,,,,,"",2270.0,,0,deny,manual,46.35,,true,true,"",https://cdn.shopify.com/s/files/1/0521/9952/2463/products/Lattice.jpg?v=1635494174,1,,false,,,,,,,,,,,,,,,,,kg,,,active
lw-crisscut-fries,LW CrissCut Fries,"<p><meta charset=""utf-8""><strong>Weight: 2.04KG</strong></p>
<p><meta charset=""utf-8""><em data-mce-fragment=""1"">-ALL PICTURES SHOWN ARE FOR ILLUSTRATION PURPOSE ONLY.ACTUAL PRODUCT MAY VARY DUE TO PRODUCT ENHANCEMENT.-</em></p>",Tong Hing Sabah,,Snack,"",true,Title,Default Title,,,,,"",2040.0,,0,deny,manual,33.30,,true,true,"",https://cdn.shopify.com/s/files/1/0521/9952/2463/products/crisscut.jpg?v=1635494054,1,,false,,,,,,,,,,,,,,,,,kg,,,active
lw-starz-chop,LW Starz Chop,"<p><meta charset=""utf-8""><strong>Weight: 2.27KG</strong></p>
<p><meta charset=""utf-8""><em data-mce-fragment=""1"">-ALL PICTURES SHOWN ARE FOR ILLUSTRATION PURPOSE ONLY.ACTUAL PRODUCT MAY VARY DUE TO PRODUCT ENHANCEMENT.-</em></p>",Tong Hing Sabah,,Snack,"",true,Title,Default Title,,,,,"",2270.0,,0,deny,manual,37.85,,true,true,"",https://cdn.shopify.com/s/files/1/0521/9952/2463/products/Starz.jpg?v=1635494605,1,,false,,,,,,,,,,,,,,,,,kg,,,active
lw-crispy-fries,LW Crispy Fries,"<p><meta charset=""utf-8""><strong>Weight: 2.27KG</strong></p>
<p><meta charset=""utf-8""><em data-mce-fragment=""1"">-ALL PICTURES SHOWN ARE FOR ILLUSTRATION PURPOSE ONLY.ACTUAL PRODUCT MAY VARY DUE TO PRODUCT ENHANCEMENT.-</em></p>",Tong Hing Sabah,,Snack,"",true,Title,Default Title,,,,,"",2270.0,,0,deny,manual,33.75,,true,true,"",https://cdn.shopify.com/s/files/1/0521/9952/2463/products/crispyfries.jpg?v=1635493970,1,,false,,,,,,,,,,,,,,,,,kg,,,active
lw-tater-puff,LW Tater Puff,"<p><meta charset=""utf-8""><strong>Weight: 2.27KG</strong></p>
<p><meta charset=""utf-8""><em data-mce-fragment=""1"">-ALL PICTURES SHOWN ARE FOR ILLUSTRATION PURPOSE ONLY.ACTUAL PRODUCT MAY VARY DUE TO PRODUCT ENHANCEMENT.-</em></p>",Tong Hing Sabah,,Snack,"",true,Title,Default Title,,,,,"",2270.0,,0,deny,manual,30.75,,true,true,"",https://cdn.shopify.com/s/files/1/0521/9952/2463/products/Tater.jpg?v=1635494660,1,,false,,,,,,,,,,,,,,,,,kg,,,active
lw-red-mashed-potato,LW Red Mashed Potato,"<p><meta charset=""utf-8""><strong>Weight: 1.81KG</strong></p>
<p><meta charset=""utf-8""><em data-mce-fragment=""1"">-ALL PICTURES SHOWN ARE FOR ILLUSTRATION PURPOSE ONLY.ACTUAL PRODUCT MAY VARY DUE TO PRODUCT ENHANCEMENT.-</em></p>",Tong Hing Sabah,,Snack,"",true,Title,Default Title,,,,,"",1810.0,,0,deny,manual,31.80,,true,true,"",https://cdn.shopify.com/s/files/1/0521/9952/2463/products/redsmash.jpg?v=1635494229,1,,false,,,,,,,,,,,,,,,,,kg,,,active
